,film,year,filmID,actor,role,personID,repeat
10,The Adventures of Goopy and Bagha,1969,tt0063023,Abani Chatterjee,Village elder,nm0154106,1
25,Abhijaan,1962,tt0055724,Abani Mukherjee,Lawyer,nm0611505,3
25,The Adventures of Goopy and Bagha,1969,tt0063023,Abani Mukherjee,,nm0611505,3
13,Joi Baba Felunath: The Elephant God,1979,tt0077775,Abani Mukherjee,,nm0611505,3
30,The Adversary,1970,tt0066237,Abdul Majid,,nm5580441,1
12,Heerak Rajar Deshe,1980,tt0080856,Abhijit Chatterjee,,nm0154107,2
9,The World of Apu,1959,tt0052572,Abhijit Chatterjee,Aparna's Brother,nm0154107,2
22,The Holy Man,1965,tt0059417,Aditya Singh,,nm4820261,1
25,The Chess Players,1977,tt0076696,Agha,Chuttan Miyan,nm0013023,1
14,Aparajito,1956,tt0048956,Ajay Mitra,Anil,nm0593940,1
9,Abhijaan,1962,tt0055724,Ajit Banerjee,Banerjee,nm0051830,4
8,The Stranger,1991,tt0101279,Ajit Banerjee,Sital Sarkar,nm0051830,4
3,The Middleman,1975,tt0074710,Ajit Banerjee,,nm0051830,4
0,Branches of the Tree,1990,tt0100587,Ajit Banerjee,Ananda Majumdar,nm0051830,4
13,An Enemy of the People,1989,tt0097409,Ajit Chatterjee,,nm1507675,1
23,The Adversary,1970,tt0066237,Ajit Gangopadhyay,,nm3776744,1
25,The Adversary,1970,tt0066237,Ajit Ghosh,,nm4828558,1
18,The Holy Man,1965,tt0059417,Ajit Gupta,,nm4820297,2
12,Charulata,1964,tt0057935,Ajit Gupta,,nm4820297,2
39,The Middleman,1975,tt0074710,Ajit Mukherjee,,nm5587566,1
5,Heerak Rajar Deshe,1980,tt0080856,Ajoy Banerjee,Comedian,nm0051831,4
3,Company Limited,1971,tt0067729,Ajoy Banerjee,,nm0051831,4
2,The Adventures of Goopy and Bagha,1969,tt0063023,Ajoy Banerjee,Visitor to Halla,nm0051831,4
2,The Golden Fortress,1974,tt0072190,Ajoy Banerjee,Amiyanath Burman,nm0051831,4
7,Kanchenjungha,1962,tt0056134,Alakananda Ray,Monisha,nm0746923,1
2,The World of Apu,1959,tt0052572,Alok Chakravarty,Kajal,nm0149845,1
18,The Zoo,1967,tt0061474,Alok Mitra,,nm5207507,1
29,The Middleman,1975,tt0074710,Alokendu Dey,Fatikchand,nm4825642,1
32,Heerak Rajar Deshe,1980,tt0080856,Alpana Gupta,,nm4522883,1
15,Company Limited,1971,tt0067729,Althia Ensob,,nm5586696,1
18,Company Limited,1971,tt0067729,Amalendu Gupta,,nm5586697,1
4,The Adversary,1970,tt0066237,Amar Bardhan,,nm5581289,1
14,Paras-Pathar,1958,tt0052046,Amar Mullick,Guest at Cocktail Party,nm0612280,1
24,The Chess Players,1977,tt0076696,Amitabh Bachchan,Narration,nm0000821,1
22,The Chess Players,1977,tt0076696,Amjad Khan,Wajid Ali Shah,nm0451166,1
18,The Chess Players,1977,tt0076696,Amrit Bhushan Gujral,,nm1839816,1
8,Deliverance,1981,tt0083018,Anand Chaube,,nm0154254,1
9,Deliverance,1981,tt0083018,Anand Verma,,nm0894337,1
6,The Goddess,1960,tt0053765,Anil Bag,,nm4531497,1
8,The Goddess,1960,tt0053765,Anil Chatterjee,Bhudeb,nm0154110,4
3,Kanchenjungha,1962,tt0056134,Anil Chatterjee,Anil,nm0154110,4
0,Teen Kanya,1961,tt0055508,Anil Chatterjee,Nandal,nm0154110,4
0,The Big City,1963,tt0057277,Anil Chatterjee,Subrata Mazumdar,nm0154110,4
10,Distant Thunder,1973,tt0069737,Anil Ganguly,Nibaran,nm0304356,1
24,The Adversary,1970,tt0066237,Anil Ganguly,,nm5581710,1
14,The Goddess,1960,tt0053765,Anil Mitra,,nm4955878,1
15,Aparajito,1956,tt0048956,Anil Mukherjee,Abinash,nm0611506,1
9,The Adversary,1970,tt0066237,Anindita Chatterjee,,nm5581505,1
10,Heerak Rajar Deshe,1980,tt0080856,Anindya Basu,,nm5588741,1
26,Heerak Rajar Deshe,1980,tt0080856,Anindya Ganguly,,nm5588754,1
22,Company Limited,1971,tt0067729,Anita Mukhopadhyay,,nm4444621,1
44,The Adversary,1970,tt0066237,Anja Savarwal,,nm5581377,1
4,Kanchenjungha,1962,tt0056134,Anubha Gupta,Anima,nm0348465,1
15,The Middleman,1975,tt0074710,Anup Chakraborty,,nm5587652,1
37,Heerak Rajar Deshe,1980,tt0080856,Anup Mukherjee,,nm5588606,1
15,The Big City,1963,tt0057277,Anuradha Guha,,nm3990569,1
7,Pather Panchali,1955,tt0048473,Aparna Devi,Nilmoni's wife,nm0222436,1
52,The Middleman,1975,tt0074710,Aparna Sen,Somnath's ex-girlfriend,nm0031967,4
16,Teen Kanya,1961,tt0055508,Aparna Sen,Mrinmoyee,nm0031967,4
12,Days and Nights in the Forest,1970,tt0065417,Aparna Sen,Hari's former lover,nm0031967,4
3,Pikoor Diary,1981,tt0082906,Aparna Sen,Pikoo's mother,nm0031967,4
2,The Adversary,1970,tt0066237,Arabinda Banerjee,,nm5582332,1
9,The Goddess,1960,tt0053765,Arabinda Kumar Chowdhury,,nm5574621,1
10,The Middleman,1975,tt0074710,Arati Bhattacharya,Mrs. Ganguli,nm0080341,1
18,Abhijaan,1962,tt0055724,Arati Das,,nm1715270,1
1,Pikoor Diary,1981,tt0082906,Arjun Guha-Thakurta,Pikoo,nm0346624,1
5,The Goddess,1960,tt0053765,Arpan Chowdhury,"Khoka, child",nm0159533,1
11,The Big City,1963,tt0057277,Arun Chowdhury,,nm0159534,1
22,The Adversary,1970,tt0066237,Arun Dey,,nm5317227,1
8,Kanchenjungha,1962,tt0056134,Arun Mukherjee,Ashoke,nm0611509,1
29,Abhijaan,1962,tt0055724,Arun Roy,Naskar,nm0746935,2
23,Distant Thunder,1973,tt0069737,Arun Roy,,nm0746935,2
23,Teen Kanya,1961,tt0055508,Arundhati Roy,,nm5574011,1
38,Heerak Rajar Deshe,1980,tt0080856,Arup Mukherjee,,nm5588684,1
15,An Enemy of the People,1989,tt0097409,Arup Pal Chowdhury,,nm5591378,2
14,Ghare-Baire,1984,tt0087328,Arup Pal Chowdhury,,nm5591378,2
33,The Adversary,1970,tt0066237,Arya Mukherjee,,nm5580578,1
1,The Adversary,1970,tt0066237,Asgar Ali,,nm5581814,1
11,The World of Apu,1959,tt0052572,Asha Devi,,nm0222439,1
17,The Chess Players,1977,tt0076696,Ashfaq Mirza,,nm1840026,1
10,An Enemy of the People,1989,tt0097409,Ashok Bera,,nm5591299,1
21,Heerak Rajar Deshe,1980,tt0080856,Ashok Kumar Dey,,nm5588643,1
32,The Adversary,1970,tt0066237,Ashok Mitra,,nm1371495,5
24,Nayak: The Hero,1966,tt0060742,Ashok Mitra,,nm1371495,5
23,The Adventures of Goopy and Bagha,1969,tt0063023,Ashok Mitra,,nm1371495,5
19,The Zoo,1967,tt0061474,Ashok Mitra,,nm1371495,5
18,The Big City,1963,tt0057277,Ashok Mitra,,nm1371495,5
16,The Golden Fortress,1974,tt0072190,Ashok Mukherjee,Journalist,nm0611513,2
13,Branches of the Tree,1990,tt0100587,Ashok Mukherjee,,nm0611513,2
39,The Adversary,1970,tt0066237,B.P. Roy,,nm5583237,1
16,The Adventures of Goopy and Bagha,1969,tt0063023,Balai Das,,nm4878227,1
47,The Middleman,1975,tt0074710,Banibrata Poddar,,nm5587097,1
11,Charulata,1964,tt0057935,Bankim Ghosh,Jagannath,nm0315878,2
11,The Zoo,1967,tt0061474,Bankim Ghosh,Brajadas,nm0315878,2
40,The Middleman,1975,tt0074710,Barin Mukherjee,,nm5587274,1
8,Company Limited,1971,tt0067729,Barry Chakraborty,,nm5586682,1
10,The Chess Players,1977,tt0076696,Barry John,,nm0424134,1
1,Company Limited,1971,tt0067729,Barun Chanda,Shyamalendu Chatterjee,nm0151285,1
20,The Middleman,1975,tt0074710,Basudeb Chatterjee,,nm5587128,1
21,Company Limited,1971,tt0067729,Basudeb Mukherjee,,nm5586668,1
8,Teen Kanya,1961,tt0055508,Batakrishna Nandan,,nm5574056,1
18,The World of Apu,1959,tt0052572,Bechu Singha,,nm0802261,1
21,Teen Kanya,1961,tt0055508,Belarani Devi,,nm0067570,2
12,The World of Apu,1959,tt0052572,Belarani Devi,Apu's Neighbor,nm0067570,2
17,Aparajito,1956,tt0048956,Bhaganu Palwan,Palwan,nm0658890,1
13,Deliverance,1981,tt0083018,Bhaialal Hedao,The Gond,nm2754616,1
21,Abhijaan,1962,tt0055724,Bhanu Ghosh,,nm0315879,1
8,Nayak: The Hero,1966,tt0060742,Bharati Devi,Manorama,nm0080249,2
7,Paras-Pathar,1958,tt0052046,Bharati Devi,Guest at Cocktail Party,nm0080249,2
16,Joi Baba Felunath: The Elephant God,1979,tt0077775,Bhaskar Patra,,nm4814546,1
16,The Adversary,1970,tt0066237,Bhaskar Roy Chowdhury,,nm0080275,1
11,The Adventures of Goopy and Bagha,1969,tt0063023,Bhaswati Chatterjee,,nm4878268,1
41,The Middleman,1975,tt0074710,Bhaya Mukherjee,,nm5587179,1
9,Branches of the Tree,1990,tt0100587,Bhishma Guhathakurta,,nm0346613,2
7,An Enemy of the People,1989,tt0097409,Bhishma Guhathakurta,Ranen Haldar,nm0346613,2
12,Abhijaan,1962,tt0055724,Bhola Bhattacharya,,nm5570306,1
13,The Goddess,1960,tt0053765,Bholanath Koyal,,nm0468698,2
13,Charulata,1964,tt0057935,Bholanath Koyal,Braja,nm0468698,2
12,The Chess Players,1977,tt0076696,Bhudo Advani,Abbajani,nm0012539,1
8,The Big City,1963,tt0057277,Bibhuti Banerjee,,nm4970577,1
21,Ghare-Baire,1984,tt0087328,Bibhuti Nandy,,nm4727279,1
16,The Middleman,1975,tt0074710,Bijon Chakraborty,,nm5587455,1
3,The Stranger,1991,tt0101279,Bikram Bhattacharya,Satyaki Bose,nm4865982,1
17,Heerak Rajar Deshe,1980,tt0080856,Bikramjit Das,,nm5588798,1
6,Heerak Rajar Deshe,1980,tt0080856,Bimal Banerjee,,nm4654435,1
21,The Middleman,1975,tt0074710,Bimal Chatterjee,Adok,nm0154115,4
13,Heerak Rajar Deshe,1980,tt0080856,Bimal Chatterjee,,nm0154115,4
5,The Golden Fortress,1974,tt0072190,Bimal Chatterjee,Advocate,nm0154115,4
5,Joi Baba Felunath: The Elephant God,1979,tt0077775,Bimal Chatterjee,Ambika Nath Ghosal,nm0154115,4
28,The Middleman,1975,tt0074710,Bimal Deb,Jagabandhu,nm1045149,2
20,Heerak Rajar Deshe,1980,tt0080856,Bimal Deb,,nm1045149,2
6,Ghare-Baire,1984,tt0087328,Bimala Chatterjee,Kulada,nm0154116,1
7,The Adventures of Goopy and Bagha,1969,tt0063023,Binoy Bose,Village elder / visitor to Halla,nm0097864,1
18,The Adventures of Goopy and Bagha,1969,tt0063023,Binoy Dutta,,nm4557729,2
8,The Zoo,1967,tt0061474,Binoy Dutta,,nm4557729,2
