film,year,filmID,actor,role,personID,repeat
Teen Kanya,1961,tt0055508,Soumitra Chatterjee,Amulya,nm0154164,14
Days and Nights in the Forest,1970,tt0065417,Soumitra Chatterjee,Ashim,nm0154164,14
Branches of the Tree,1990,tt0100587,Soumitra Chatterjee,Prasahnto,nm0154164,14
The Goddess,1960,tt0053765,Soumitra Chatterjee,Umaprasad,nm0154164,14
Abhijaan,1962,tt0055724,Soumitra Chatterjee,Narsingh,nm0154164,14
The World of Apu,1959,tt0052572,Soumitra Chatterjee,Apurba Roy,nm0154164,14
Charulata,1964,tt0057935,Soumitra Chatterjee,Amal,nm0154164,14
The Coward,1965,tt0059348,Soumitra Chatterjee,Amitabha Roy,nm0154164,14
Distant Thunder,1973,tt0069737,Soumitra Chatterjee,Gangacharan Chakravarti,nm0154164,14
The Golden Fortress,1974,tt0072190,Soumitra Chatterjee,Prodosh Mitra,nm0154164,14
Joi Baba Felunath: The Elephant God,1979,tt0077775,Soumitra Chatterjee,Prodosh Mitra,nm0154164,14
Heerak Rajar Deshe,1980,tt0080856,Soumitra Chatterjee,Pondit Moshai,nm0154164,14
Ghare-Baire,1984,tt0087328,Soumitra Chatterjee,Sandip Mukherjee,nm0154164,14
An Enemy of the People,1989,tt0097409,Soumitra Chatterjee,Dr. Ashok Gupta,nm0154164,14
The Middleman,1975,tt0074710,Santosh Dutta,Hiralal,nm0244904,8
Paras-Pathar,1958,tt0052046,Santosh Dutta,Atanu,nm0244904,8
Teen Kanya,1961,tt0055508,Santosh Dutta,Kishori,nm0244904,8
The Adventures of Goopy and Bagha,1969,tt0063023,Santosh Dutta,King of Shundi / King of Halla,nm0244904,8
The Golden Fortress,1974,tt0072190,Santosh Dutta,Lalmohan Ganguly,nm0244904,8
Joi Baba Felunath: The Elephant God,1979,tt0077775,Santosh Dutta,Lalmohan Ganguly,nm0244904,8
The Holy Man,1965,tt0059417,Santosh Dutta,Professor Nani,nm0244904,8
Heerak Rajar Deshe,1980,tt0080856,Santosh Dutta,King of Shundi / Scientist,nm0244904,8
Heerak Rajar Deshe,1980,tt0080856,Kamu Mukherjee,,nm0611536,8
The Adventures of Goopy and Bagha,1969,tt0063023,Kamu Mukherjee,,nm0611536,8
The Golden Fortress,1974,tt0072190,Kamu Mukherjee,Mandar Bose,nm0611536,8
Charulata,1964,tt0057935,Kamu Mukherjee,,nm0611536,8
Joi Baba Felunath: The Elephant God,1979,tt0077775,Kamu Mukherjee,Arjun,nm0611536,8
Branches of the Tree,1990,tt0100587,Kamu Mukherjee,,nm0611536,8
The Chess Players,1977,tt0076696,Kamu Mukherjee,,nm0611536,8
Nayak: The Hero,1966,tt0060742,Kamu Mukherjee,Pritish Sarkar,nm0611536,8
The Middleman,1975,tt0074710,Rabi Ghosh,Natabar Mittir,nm0315917,7
Abhijaan,1962,tt0055724,Rabi Ghosh,Rama,nm0315917,7
Days and Nights in the Forest,1970,tt0065417,Rabi Ghosh,Shekhar,nm0315917,7
The Stranger,1991,tt0101279,Rabi Ghosh,Ranjan Rakshit,nm0315917,7
Heerak Rajar Deshe,1980,tt0080856,Rabi Ghosh,Bagha Bayen,nm0315917,7
The Holy Man,1965,tt0059417,Rabi Ghosh,Birinchi Baba's assistant,nm0315917,7
The Adventures of Goopy and Bagha,1969,tt0063023,Rabi Ghosh,Bagha,nm0315917,7
The Big City,1963,tt0057277,Haradhan Bannerjee,Himangshu Mukherjee,nm0052329,6
Company Limited,1971,tt0067729,Haradhan Bannerjee,Talukdar,nm0052329,6
The Golden Fortress,1974,tt0072190,Haradhan Bannerjee,Tapesh's father,nm0052329,6
The Coward,1965,tt0059348,Haradhan Bannerjee,Bimal Gupta,nm0052329,6
Joi Baba Felunath: The Elephant God,1979,tt0077775,Haradhan Bannerjee,Umanath Ghosal,nm0052329,6
Branches of the Tree,1990,tt0100587,Haradhan Bannerjee,Probodh,nm0052329,6
Teen Kanya,1961,tt0055508,Govinda Chakravarti,Schoolmaster and narrator,nm0149838,5
Ghare-Baire,1984,tt0087328,Govinda Chakravarti,,nm0149838,5
Heerak Rajar Deshe,1980,tt0080856,Govinda Chakravarti,,nm0149838,5
The Adventures of Goopy and Bagha,1969,tt0063023,Govinda Chakravarti,Goopy's father,nm0149838,5
Distant Thunder,1973,tt0069737,Govinda Chakravarti,Dinabandhu,nm0149838,5
Heerak Rajar Deshe,1980,tt0080856,Haridhan Mukherjee,Astrologer,nm0154128,5
The Adventures of Goopy and Bagha,1969,tt0063023,Haridhan Mukherjee,Village elder,nm0154128,5
The Holy Man,1965,tt0059417,Haridhan Mukherjee,Ganesh,nm0154128,5
Kanchenjungha,1962,tt0056134,Haridhan Mukherjee,,nm0154128,5
Paras-Pathar,1958,tt0052046,Haridhan Mukherjee,Police Inspector,nm0154128,5
Abhijaan,1962,tt0055724,Santi Chatterjee,,nm0154155,5
The Holy Man,1965,tt0059417,Santi Chatterjee,,nm0154155,5
The Adventures of Goopy and Bagha,1969,tt0063023,Santi Chatterjee,Commander of Halla army,nm0154155,5
The Golden Fortress,1974,tt0072190,Santi Chatterjee,,nm0154155,5
The Coward,1965,tt0059348,Santi Chatterjee,,nm0154155,5
The Middleman,1975,tt0074710,Dipankar Dey,Bhombol,nm0212541,5
Company Limited,1971,tt0067729,Dipankar Dey,,nm0212541,5
Branches of the Tree,1990,tt0100587,Dipankar Dey,Probir,nm0212541,5
An Enemy of the People,1989,tt0097409,Dipankar Dey,Haridas Bagchi,nm0212541,5
The Stranger,1991,tt0101279,Dipankar Dey,Sudhindra Bose,nm0212541,5
Heerak Rajar Deshe,1980,tt0080856,Shailen Ganguli,,nm0304352,5
The Adventures of Goopy and Bagha,1969,tt0063023,Shailen Ganguli,Visitor to Halla,nm0304352,5
The Holy Man,1965,tt0059417,Shailen Ganguli,,nm0304352,5
The Big City,1963,tt0057277,Shailen Ganguli,,nm0304352,5
The Zoo,1967,tt0061474,Shailen Ganguli,,nm0304352,5
The Middleman,1975,tt0074710,Mani Srimani,,nm0820248,5
The Adventures of Goopy and Bagha,1969,tt0063023,Mani Srimani,Visitor to Halla,nm0820248,5
Aparajito,1956,tt0048956,Mani Srimani,Inspector,nm0820248,5
The Holy Man,1965,tt0059417,Mani Srimani,,nm0820248,5
Paras-Pathar,1958,tt0052046,Mani Srimani,Dr. Nandi,nm0820248,5
The World of Apu,1959,tt0052572,Sharmila Tagore,Aparna,nm0846616,5
Nayak: The Hero,1966,tt0060742,Sharmila Tagore,Aditi,nm0846616,5
The Goddess,1960,tt0053765,Sharmila Tagore,Doyamoyee,nm0846616,5
Days and Nights in the Forest,1970,tt0065417,Sharmila Tagore,Aparna,nm0846616,5
Company Limited,1971,tt0067729,Sharmila Tagore,Tutul,nm0846616,5
The Adversary,1970,tt0066237,Ashok Mitra,,nm1371495,5
Nayak: The Hero,1966,tt0060742,Ashok Mitra,,nm1371495,5
The Adventures of Goopy and Bagha,1969,tt0063023,Ashok Mitra,,nm1371495,5
The Zoo,1967,tt0061474,Ashok Mitra,,nm1371495,5
The Big City,1963,tt0057277,Ashok Mitra,,nm1371495,5
The Middleman,1975,tt0074710,Aparna Sen,Somnath's ex-girlfriend,nm0031967,4
Teen Kanya,1961,tt0055508,Aparna Sen,Mrinmoyee,nm0031967,4
Days and Nights in the Forest,1970,tt0065417,Aparna Sen,Hari's former lover,nm0031967,4
Pikoor Diary,1981,tt0082906,Aparna Sen,Pikoo's mother,nm0031967,4
Abhijaan,1962,tt0055724,Ajit Banerjee,Banerjee,nm0051830,4
The Stranger,1991,tt0101279,Ajit Banerjee,Sital Sarkar,nm0051830,4
The Middleman,1975,tt0074710,Ajit Banerjee,,nm0051830,4
Branches of the Tree,1990,tt0100587,Ajit Banerjee,Ananda Majumdar,nm0051830,4
Heerak Rajar Deshe,1980,tt0080856,Ajoy Banerjee,Comedian,nm0051831,4
Company Limited,1971,tt0067729,Ajoy Banerjee,,nm0051831,4
The Adventures of Goopy and Bagha,1969,tt0063023,Ajoy Banerjee,Visitor to Halla,nm0051831,4
The Golden Fortress,1974,tt0072190,Ajoy Banerjee,Amiyanath Burman,nm0051831,4
Aparajito,1956,tt0048956,Karuna Bannerjee,Sarbojaya Ray,nm0052334,4
The Goddess,1960,tt0053765,Karuna Bannerjee,Harasundari,nm0052334,4
Pather Panchali,1955,tt0048473,Karuna Bannerjee,Sarbojaya Ray,nm0052334,4
Kanchenjungha,1962,tt0056134,Karuna Bannerjee,Labanya Roy Chaudhuri,nm0052334,4
Paras-Pathar,1958,tt0052046,Chhabi Biswas,Guest at Cocktail Party,nm0084435,4
The Goddess,1960,tt0053765,Chhabi Biswas,Kalikinkar Roy,nm0084435,4
The Music Room,1958,tt0051792,Chhabi Biswas,Huzur Biswambhar Roy,nm0084435,4
Kanchenjungha,1962,tt0056134,Chhabi Biswas,Indranath Choudhuri,nm0084435,4
The Goddess,1960,tt0053765,Anil Chatterjee,Bhudeb,nm0154110,4
Kanchenjungha,1962,tt0056134,Anil Chatterjee,Anil,nm0154110,4
Teen Kanya,1961,tt0055508,Anil Chatterjee,Nandal,nm0154110,4
The Big City,1963,tt0057277,Anil Chatterjee,Subrata Mazumdar,nm0154110,4
The Middleman,1975,tt0074710,Bimal Chatterjee,Adok,nm0154115,4
Heerak Rajar Deshe,1980,tt0080856,Bimal Chatterjee,,nm0154115,4
The Golden Fortress,1974,tt0072190,Bimal Chatterjee,Advocate,nm0154115,4
Joi Baba Felunath: The Elephant God,1979,tt0077775,Bimal Chatterjee,Ambika Nath Ghosal,nm0154115,4
The Middleman,1975,tt0074710,Utpal Dutt,Bishuda,nm0244884,4
Joi Baba Felunath: The Elephant God,1979,tt0077775,Utpal Dutt,Maganlal Meghraj,nm0244884,4
Heerak Rajar Deshe,1980,tt0080856,Utpal Dutt,Hirak Raja,nm0244884,4
The Stranger,1991,tt0101279,Utpal Dutt,Manomohan Mitra,nm0244884,4
Heerak Rajar Deshe,1980,tt0080856,Promode Ganguly,,nm0304365,4
Company Limited,1971,tt0067729,Promode Ganguly,,nm0304365,4
Branches of the Tree,1990,tt0100587,Promode Ganguly,,nm0304365,4
The Stranger,1991,tt0101279,Promode Ganguly,Tridib Mukherjee,nm0304365,4
The Middleman,1975,tt0074710,Soven Lahiri,Goenka,nm0481574,4
The Adversary,1970,tt0066237,Soven Lahiri,Sanyal,nm0481574,4
Branches of the Tree,1990,tt0100587,Soven Lahiri,,nm0481574,4
Pikoor Diary,1981,tt0082906,Soven Lahiri,Pikoo's grandfather,nm0481574,4
