,source_target,year_x,source,sourceID,target,targetID,movie,year_y,connections_y
0,Abani Mukherjee Abani Mukherjee,5910,Abani Mukherjee,nm0611505,Abani Mukherjee,nm0611505,Abhijaan,1962,1
1,Abani Mukherjee Abani Mukherjee,5910,Abani Mukherjee,nm0611505,Abani Mukherjee,nm0611505,Joi Baba Felunath: The Elephant God,1979,1
2,Abani Mukherjee Abani Mukherjee,5910,Abani Mukherjee,nm0611505,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,1969,1
3,Abani Mukherjee Ajit Banerjee,1962,Abani Mukherjee,nm0611505,Ajit Banerjee,nm0051830,Abhijaan,1962,1
4,Abani Mukherjee Ajoy Banerjee,1969,Abani Mukherjee,nm0611505,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,1969,1
5,Abani Mukherjee Ashok Mitra,1969,Abani Mukherjee,nm0611505,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,1969,1
6,Abani Mukherjee Bimal Chatterjee,1979,Abani Mukherjee,nm0611505,Bimal Chatterjee,nm0154115,Joi Baba Felunath: The Elephant God,1979,1
7,Abani Mukherjee Bireswar Sen,1962,Abani Mukherjee,nm0611505,Bireswar Sen,nm0784001,Abhijaan,1962,1
8,Abani Mukherjee Charuprakash Ghosh,1962,Abani Mukherjee,nm0611505,Charuprakash Ghosh,nm0315882,Abhijaan,1962,1
9,Abani Mukherjee Gopal Dey,1969,Abani Mukherjee,nm0611505,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,1969,1
10,Abani Mukherjee Govinda Chakravarti,1969,Abani Mukherjee,nm0611505,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,1969,1
11,Abani Mukherjee Haradhan Bannerjee,1979,Abani Mukherjee,nm0611505,Haradhan Bannerjee,nm0052329,Joi Baba Felunath: The Elephant God,1979,1
12,Abani Mukherjee Haridhan Mukherjee,1969,Abani Mukherjee,nm0611505,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,1969,1
13,Abani Mukherjee Haridhan Nag,1962,Abani Mukherjee,nm0611505,Haridhan Nag,nm5570266,Abhijaan,1962,1
14,Abani Mukherjee Harindranath Chattopadhyay,1969,Abani Mukherjee,nm0611505,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,1969,1
15,Abani Mukherjee Kamu Mukherjee,1979,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,Joi Baba Felunath: The Elephant God,1979,1
16,Abani Mukherjee Kartik Chatterjee,1969,Abani Mukherjee,nm0611505,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,1969,1
17,Abani Mukherjee Khagen Pathak,1969,Abani Mukherjee,nm0611505,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,1969,1
18,Abani Mukherjee Mani Srimani,1969,Abani Mukherjee,nm0611505,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,1969,1
19,Abani Mukherjee Monu Mukherjee,1979,Abani Mukherjee,nm0611505,Monu Mukherjee,nm0611540,Joi Baba Felunath: The Elephant God,1979,1
20,Abani Mukherjee Noni Ganguly,1962,Abani Mukherjee,nm0611505,Noni Ganguly,nm0304363,Abhijaan,1962,1
21,Abani Mukherjee Nripati Chatterjee,1969,Abani Mukherjee,nm0611505,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,1969,1
22,Abani Mukherjee Prasad Mukherjee,1969,Abani Mukherjee,nm0611505,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,1969,1
23,Abani Mukherjee Rabi Ghosh,3931,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,Abhijaan,1962,1
24,Abani Mukherjee Rabi Ghosh,3931,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,1969,1
25,Abani Mukherjee Rajkumar Lahiri,3948,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,Joi Baba Felunath: The Elephant God,1979,1
26,Abani Mukherjee Rajkumar Lahiri,3948,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,1969,1
27,Abani Mukherjee Santi Chatterjee,3931,Abani Mukherjee,nm0611505,Santi Chatterjee,nm0154155,Abhijaan,1962,1
28,Abani Mukherjee Santi Chatterjee,3931,Abani Mukherjee,nm0611505,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,1969,1
29,Abani Mukherjee Santosh Dutta,3948,Abani Mukherjee,nm0611505,Santosh Dutta,nm0244904,Joi Baba Felunath: The Elephant God,1979,1
30,Abani Mukherjee Santosh Dutta,3948,Abani Mukherjee,nm0611505,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,1969,1
31,Abani Mukherjee Satya Banerjee,1979,Abani Mukherjee,nm0611505,Satya Banerjee,nm0051810,Joi Baba Felunath: The Elephant God,1979,1
32,Abani Mukherjee Shailen Ganguli,1969,Abani Mukherjee,nm0611505,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,1969,1
33,Abani Mukherjee Tapan Chatterjee,1969,Abani Mukherjee,nm0611505,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,1969,1
34,Abani Mukherjee Tarun Mitra,1969,Abani Mukherjee,nm0611505,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,1969,1
