decade,actor,film,year,name,gender,personID,repeat
1950s,Soumitra Chatterjee,The World of Apu,1959,Apurba Roy,Male,nm0154164,13
1960s,Soumitra Chatterjee,Teen Kanya,1961,Amulya,Male,nm0154164,13
1960s,Soumitra Chatterjee,Abhijaan,1962,Narsingh,Male,nm0154164,13
1960s,Soumitra Chatterjee,Charulata,1964,Amal,Male,nm0154164,13
1960s,Soumitra Chatterjee,The Coward,1965,Amitabha Roy,Male,nm0154164,13
1970s,Soumitra Chatterjee,Days and Nights in the Forest,1970,Ashim,Male,nm0154164,13
1970s,Soumitra Chatterjee,Distant Thunder,1973,Gangacharan Chakravarti,Male,nm0154164,13
1970s,Soumitra Chatterjee,The Golden Fortress,1974,Prodosh Mitra,Male,nm0154164,13
1970s,Soumitra Chatterjee,Joi Baba Felunath: The Elephant God,1979,Prodosh Mitra,Male,nm0154164,13
1980s,Soumitra Chatterjee,Heerak Rajar Deshe,1980,Pondit Moshai,Male,nm0154164,13
1980s,Soumitra Chatterjee,Ghare-Baire,1984,Sandip Mukherjee,Male,nm0154164,13
1980s,Soumitra Chatterjee,An Enemy of the People,1989,Dr. Ashok Gupta,Male,nm0154164,13
1990s,Soumitra Chatterjee,Branches of the Tree,1990,Prasahnto,Male,nm0154164,13
1950s,Santosh Dutta,Paras-Pathar,1958,Atanu,Male,nm0244904,8
1960s,Santosh Dutta,Teen Kanya,1961,Kishori,Male,nm0244904,8
1960s,Santosh Dutta,The Holy Man,1965,Professor Nani,Male,nm0244904,8
1960s,Santosh Dutta,The Adventures of Goopy and Bagha,1969,King of Shundi / King of Halla,Male,nm0244904,8
1970s,Santosh Dutta,The Golden Fortress,1974,Lalmohan Ganguly,Male,nm0244904,8
1970s,Santosh Dutta,The Middleman,1975,Hiralal,Male,nm0244904,8
1970s,Santosh Dutta,Joi Baba Felunath: The Elephant God,1979,Lalmohan Ganguly,Male,nm0244904,8
1980s,Santosh Dutta,Heerak Rajar Deshe,1980,King of Shundi / Scientist,Male,nm0244904,8
1960s,Kamu Mukherjee,Charulata,1964,unnamed,Male,nm0611536,8
1960s,Kamu Mukherjee,Nayak: The Hero,1966,Pritish Sarkar,Male,nm0611536,8
1960s,Kamu Mukherjee,The Adventures of Goopy and Bagha,1969,unnamed,Male,nm0611536,8
1970s,Kamu Mukherjee,The Golden Fortress,1974,Mandar Bose,Male,nm0611536,8
