,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y,
3,Abani Mukherjee Ajit Banerjee,Abani Mukherjee,nm0611505,Ajit Banerjee,nm0051830,Abhijaan,Abhijaan,1,FALSE
4,Abani Mukherjee Ajoy Banerjee,Abani Mukherjee,nm0611505,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
5,Abani Mukherjee Ashok Mitra,Abani Mukherjee,nm0611505,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
6,Abani Mukherjee Bimal Chatterjee,Abani Mukherjee,nm0611505,Bimal Chatterjee,nm0154115,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
7,Abani Mukherjee Bireswar Sen,Abani Mukherjee,nm0611505,Bireswar Sen,nm0784001,Abhijaan,Abhijaan,1,FALSE
8,Abani Mukherjee Charuprakash Ghosh,Abani Mukherjee,nm0611505,Charuprakash Ghosh,nm0315882,Abhijaan,Abhijaan,1,FALSE
9,Abani Mukherjee Gopal Dey,Abani Mukherjee,nm0611505,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
10,Abani Mukherjee Govinda Chakravarti,Abani Mukherjee,nm0611505,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
11,Abani Mukherjee Haradhan Bannerjee,Abani Mukherjee,nm0611505,Haradhan Bannerjee,nm0052329,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
12,Abani Mukherjee Haridhan Mukherjee,Abani Mukherjee,nm0611505,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
13,Abani Mukherjee Haridhan Nag,Abani Mukherjee,nm0611505,Haridhan Nag,nm5570266,Abhijaan,Abhijaan,1,FALSE
14,Abani Mukherjee Harindranath Chattopadhyay,Abani Mukherjee,nm0611505,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
15,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
16,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
17,Abani Mukherjee Kartik Chatterjee,Abani Mukherjee,nm0611505,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
18,Abani Mukherjee Khagen Pathak,Abani Mukherjee,nm0611505,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
19,Abani Mukherjee Mani Srimani,Abani Mukherjee,nm0611505,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
20,Abani Mukherjee Monu Mukherjee,Abani Mukherjee,nm0611505,Monu Mukherjee,nm0611540,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
21,Abani Mukherjee Noni Ganguly,Abani Mukherjee,nm0611505,Noni Ganguly,nm0304363,Abhijaan,Abhijaan,1,FALSE
22,Abani Mukherjee Nripati Chatterjee,Abani Mukherjee,nm0611505,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
23,Abani Mukherjee Prasad Mukherjee,Abani Mukherjee,nm0611505,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
24,Abani Mukherjee Rabi Ghosh,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,Abhijaan,Abhijaan,1,FALSE
25,Abani Mukherjee Rabi Ghosh,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
26,Abani Mukherjee Rajkumar Lahiri,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
27,Abani Mukherjee Rajkumar Lahiri,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
28,Abani Mukherjee Santi Chatterjee,Abani Mukherjee,nm0611505,Santi Chatterjee,nm0154155,Abhijaan,Abhijaan,1,FALSE
29,Abani Mukherjee Santi Chatterjee,Abani Mukherjee,nm0611505,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
30,Abani Mukherjee Santosh Dutta,Abani Mukherjee,nm0611505,Santosh Dutta,nm0244904,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
31,Abani Mukherjee Satya Bannerjee (I),Abani Mukherjee,nm0611505,Satya Bannerjee (I),nm0051810,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
32,Abani Mukherjee Shailen Ganguli,Abani Mukherjee,nm0611505,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
33,Abani Mukherjee Tapan Chatterjee,Abani Mukherjee,nm0611505,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
34,Abani Mukherjee Tarun Mitra,Abani Mukherjee,nm0611505,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
35,Abani Mukherjee Utpal Dutt,Abani Mukherjee,nm0611505,Utpal Dutt,nm0244884,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
36,Ajit Banerjee Abani Mukherjee,Ajit Banerjee,nm0051830,Abani Mukherjee,nm0611505,Abhijaan,Abhijaan,1,FALSE
41,Ajit Banerjee Aparna Sen,Ajit Banerjee,nm0051830,Aparna Sen,nm0031967,The Middleman,The Middleman,1,FALSE
42,Ajit Banerjee Bireswar Sen,Ajit Banerjee,nm0051830,Bireswar Sen,nm0784001,Abhijaan,Abhijaan,1,FALSE
