,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y
0,Abani Chatterjee Abani Chatterjee,Abani Chatterjee,nm0154106,Abani Chatterjee,nm0154106,The Adventures of Goopy and Bagha,tt0063023,1
1,Abani Chatterjee Abani Mukherjee,Abani Chatterjee,nm0154106,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,tt0063023,1
2,Abani Chatterjee Ashok Mitra,Abani Chatterjee,nm0154106,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,tt0063023,1
3,Abani Chatterjee Balai Das,Abani Chatterjee,nm0154106,Balai Das,nm4878227,The Adventures of Goopy and Bagha,tt0063023,1
4,Abani Chatterjee Bhaswati Chatterjee,Abani Chatterjee,nm0154106,Bhaswati Chatterjee,nm4878268,The Adventures of Goopy and Bagha,tt0063023,1
5,Abani Chatterjee Binoy Bose,Abani Chatterjee,nm0154106,Binoy Bose,nm0097864,The Adventures of Goopy and Bagha,tt0063023,1
6,Abani Chatterjee Binoy Dutta,Abani Chatterjee,nm0154106,Binoy Dutta,nm4557729,The Adventures of Goopy and Bagha,tt0063023,1
7,Abani Chatterjee Chinmoy Roy,Abani Chatterjee,nm0154106,Chinmoy Roy,nm0746961,The Adventures of Goopy and Bagha,tt0063023,1
8,Abani Chatterjee Dilip Bose,Abani Chatterjee,nm0154106,Dilip Bose,nm4435113,The Adventures of Goopy and Bagha,tt0063023,1
9,Abani Chatterjee Durgadas Bannerjee,Abani Chatterjee,nm0154106,Durgadas Bannerjee,nm1274537,The Adventures of Goopy and Bagha,tt0063023,1
10,Abani Chatterjee Gopal Dey,Abani Chatterjee,nm0154106,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,tt0063023,1
11,Abani Chatterjee Govinda Chakravarti,Abani Chatterjee,nm0154106,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,tt0063023,1
12,Abani Chatterjee Haridhan Mukherjee,Abani Chatterjee,nm0154106,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,tt0063023,1
13,Abani Chatterjee Harindranath Chattopadhyay,Abani Chatterjee,nm0154106,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,tt0063023,1
14,Abani Chatterjee Iva Banerjee,Abani Chatterjee,nm0154106,Iva Banerjee,nm4878254,The Adventures of Goopy and Bagha,tt0063023,1
15,Abani Chatterjee Jahar Roy,Abani Chatterjee,nm0154106,Jahar Roy,nm0712854,The Adventures of Goopy and Bagha,tt0063023,1
16,Abani Chatterjee Joykrishna Sanyal,Abani Chatterjee,nm0154106,Joykrishna Sanyal,nm0764404,The Adventures of Goopy and Bagha,tt0063023,1
17,Abani Chatterjee Kamu Mukherjee,Abani Chatterjee,nm0154106,Kamu Mukherjee,nm0611536,The Adventures of Goopy and Bagha,tt0063023,1
18,Abani Chatterjee Kartik Chatterjee,Abani Chatterjee,nm0154106,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,tt0063023,1
19,Abani Chatterjee Khagen Pathak,Abani Chatterjee,nm0154106,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,tt0063023,1
20,Abani Chatterjee Mani Srimani,Abani Chatterjee,nm0154106,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,tt0063023,1
21,Abani Chatterjee Nripati Chatterjee,Abani Chatterjee,nm0154106,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,tt0063023,1
22,Abani Chatterjee Prasad Mukherjee,Abani Chatterjee,nm0154106,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,tt0063023,1
23,Abani Chatterjee Preeti Majumdar,Abani Chatterjee,nm0154106,Preeti Majumdar,nm0538299,The Adventures of Goopy and Bagha,tt0063023,1
24,Abani Chatterjee Rabi Ghosh,Abani Chatterjee,nm0154106,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,tt0063023,1
25,Abani Chatterjee Rajkumar Lahiri,Abani Chatterjee,nm0154106,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,tt0063023,1
26,Abani Chatterjee Ramen Bhaduri,Abani Chatterjee,nm0154106,Ramen Bhaduri,nm4878301,The Adventures of Goopy and Bagha,tt0063023,1
27,Abani Chatterjee Ratan Banerjee,Abani Chatterjee,nm0154106,Ratan Banerjee,nm0051844,The Adventures of Goopy and Bagha,tt0063023,1
28,Abani Chatterjee Santi Chatterjee,Abani Chatterjee,nm0154106,Santi Chatterjee,nm0154155,The Adventures of Goopy and Bagha,tt0063023,1
29,Abani Chatterjee Santosh Dutta,Abani Chatterjee,nm0154106,Santosh Dutta,nm0244904,The Adventures of Goopy and Bagha,tt0063023,1
30,Abani Chatterjee Shailen Ganguli,Abani Chatterjee,nm0154106,Shailen Ganguli,nm0304352,The Adventures of Goopy and Bagha,tt0063023,1
31,Abani Chatterjee Tapan Chatterjee,Abani Chatterjee,nm0154106,Tapan Chatterjee,nm0154170,The Adventures of Goopy and Bagha,tt0063023,1
32,Abani Chatterjee Tarun Mitra,Abani Chatterjee,nm0154106,Tarun Mitra,nm0593973,The Adventures of Goopy and Bagha,tt0063023,1
33,Abani Mukherjee Abani Chatterjee,Abani Mukherjee,nm0611505,Abani Chatterjee,nm0154106,The Adventures of Goopy and Bagha,tt0063023,1
34,Abani Mukherjee Abani Mukherjee,Abani Mukherjee,nm0611505,Abani Mukherjee,nm0611505,Joi Baba Felunath: The Elephant God,tt0077775,1
35,Abani Mukherjee Abani Mukherjee,Abani Mukherjee,nm0611505,Abani Mukherjee,nm0611505,Abhijaan,tt0055724,1
36,Abani Mukherjee Abani Mukherjee,Abani Mukherjee,nm0611505,Abani Mukherjee,nm0611505,The Adventures of Goopy and Bagha,tt0063023,1
37,Abani Mukherjee Arati Das,Abani Mukherjee,nm0611505,Arati Das,nm1715270,Abhijaan,tt0055724,1
38,Abani Mukherjee Arun Roy,Abani Mukherjee,nm0611505,Arun Roy,nm0746935,Abhijaan,tt0055724,1
39,Abani Mukherjee Ashok Mitra,Abani Mukherjee,nm0611505,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,tt0063023,1
40,Abani Mukherjee Balai Das,Abani Mukherjee,nm0611505,Balai Das,nm4878227,The Adventures of Goopy and Bagha,tt0063023,1
41,Abani Mukherjee Bhanu Ghosh,Abani Mukherjee,nm0611505,Bhanu Ghosh,nm0315879,Abhijaan,tt0055724,1
42,Abani Mukherjee Bhaskar Patra,Abani Mukherjee,nm0611505,Bhaskar Patra,nm4814546,Joi Baba Felunath: The Elephant God,tt0077775,1
43,Abani Mukherjee Bhaswati Chatterjee,Abani Mukherjee,nm0611505,Bhaswati Chatterjee,nm4878268,The Adventures of Goopy and Bagha,tt0063023,1
44,Abani Mukherjee Bhola Bhattacharya,Abani Mukherjee,nm0611505,Bhola Bhattacharya,nm5570306,Abhijaan,tt0055724,1
45,Abani Mukherjee Bimal Chatterjee,Abani Mukherjee,nm0611505,Bimal Chatterjee,nm0154115,Joi Baba Felunath: The Elephant God,tt0077775,1
46,Abani Mukherjee Binoy Bose,Abani Mukherjee,nm0611505,Binoy Bose,nm0097864,The Adventures of Goopy and Bagha,tt0063023,1
47,Abani Mukherjee Binoy Dutta,Abani Mukherjee,nm0611505,Binoy Dutta,nm4557729,The Adventures of Goopy and Bagha,tt0063023,1
48,Abani Mukherjee Biplab Chatterjee,Abani Mukherjee,nm0611505,Biplab Chatterjee,nm0154118,Joi Baba Felunath: The Elephant God,tt0077775,1
49,Abani Mukherjee Bireshwar Sarkhel,Abani Mukherjee,nm0611505,Bireshwar Sarkhel,nm4973262,Abhijaan,tt0055724,1
50,Abani Mukherjee Bireswar Sen,Abani Mukherjee,nm0611505,Bireswar Sen,nm0784001,Abhijaan,tt0055724,1
51,Abani Mukherjee Charuprakash Ghosh,Abani Mukherjee,nm0611505,Charuprakash Ghosh,nm0315882,Abhijaan,tt0055724,1
52,Abani Mukherjee Chinmoy Roy,Abani Mukherjee,nm0611505,Chinmoy Roy,nm0746961,The Adventures of Goopy and Bagha,tt0063023,1
53,Abani Mukherjee Debi Chattopadhyay,Abani Mukherjee,nm0611505,Debi Chattopadhyay,nm5570272,Abhijaan,tt0055724,1
54,Abani Mukherjee Dilip Bose,Abani Mukherjee,nm0611505,Dilip Bose,nm4435113,The Adventures of Goopy and Bagha,tt0063023,1
55,Abani Mukherjee Durgadas Bannerjee,Abani Mukherjee,nm0611505,Durgadas Bannerjee,nm1274537,Abhijaan,tt0055724,1
56,Abani Mukherjee Durgadas Bannerjee,Abani Mukherjee,nm0611505,Durgadas Bannerjee,nm1274537,The Adventures of Goopy and Bagha,tt0063023,1
57,Abani Mukherjee Gadadhar Sen,Abani Mukherjee,nm0611505,Gadadhar Sen,nm5570299,Abhijaan,tt0055724,1
58,Abani Mukherjee Gopal Dey,Abani Mukherjee,nm0611505,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,tt0063023,1
59,Abani Mukherjee Govinda Chakravarti,Abani Mukherjee,nm0611505,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,tt0063023,1
60,Abani Mukherjee Gyanesh Mukherjee,Abani Mukherjee,nm0611505,Gyanesh Mukherjee,nm0611525,Abhijaan,tt0055724,1
61,Abani Mukherjee Haradhan Bannerjee,Abani Mukherjee,nm0611505,Haradhan Bannerjee,nm0052329,Joi Baba Felunath: The Elephant God,tt0077775,1
62,Abani Mukherjee Haridhan Mukherjee,Abani Mukherjee,nm0611505,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,tt0063023,1
63,Abani Mukherjee Haridhan Nag,Abani Mukherjee,nm0611505,Haridhan Nag,nm5570266,Abhijaan,tt0055724,1
64,Abani Mukherjee Harindranath Chattopadhyay,Abani Mukherjee,nm0611505,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,tt0063023,1
65,Abani Mukherjee Indubhushan Gujral,Abani Mukherjee,nm0611505,Indubhushan Gujral,nm4814565,Joi Baba Felunath: The Elephant God,tt0077775,1
66,Abani Mukherjee Iva Banerjee,Abani Mukherjee,nm0611505,Iva Banerjee,nm4878254,The Adventures of Goopy and Bagha,tt0063023,1
67,Abani Mukherjee Jahar Roy,Abani Mukherjee,nm0611505,Jahar Roy,nm0712854,The Adventures of Goopy and Bagha,tt0063023,1
68,Abani Mukherjee Jit Bose,Abani Mukherjee,nm0611505,Jit Bose,nm4440312,Joi Baba Felunath: The Elephant God,tt0077775,1
69,Abani Mukherjee Joykrishna Sanyal,Abani Mukherjee,nm0611505,Joykrishna Sanyal,nm0764404,The Adventures of Goopy and Bagha,tt0063023,1
70,Abani Mukherjee Kali Chakraborty,Abani Mukherjee,nm0611505,Kali Chakraborty,nm4693009,Abhijaan,tt0055724,1
71,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,Joi Baba Felunath: The Elephant God,tt0077775,1
72,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,The Adventures of Goopy and Bagha,tt0063023,1
73,Abani Mukherjee Kartik Chanda,Abani Mukherjee,nm0611505,Kartik Chanda,nm5570286,Abhijaan,tt0055724,1
74,Abani Mukherjee Kartik Chatterjee,Abani Mukherjee,nm0611505,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,tt0063023,1
75,Abani Mukherjee Kartik Mukhopadhyay,Abani Mukherjee,nm0611505,Kartik Mukhopadhyay,nm5570269,Abhijaan,tt0055724,1
76,Abani Mukherjee Khagen Pathak,Abani Mukherjee,nm0611505,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,tt0063023,1
